1779080599.043319 server started (1536774): version 3.5a, socket /tmp/tmux-1000/default, protocol 8
1779080599.043350 on Linux 6.17.0-23-generic #23-Ubuntu SMP PREEMPT_DYNAMIC Sat Apr 11 23:29:57 UTC 2026
1779080599.043363 using libevent 2.1.12-stable poll
1779080599.043367 using ncurses 6.5 20250216
1779080599.043485 input_key_build: 0x10e003 (PasteStart) is \033[200~
1779080599.043506 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1779080599.043514 input_key_build: 0x10e195 (F1) is \033OP
1779080599.043517 input_key_build: 0x10e196 (F2) is \033OQ
1779080599.043520 input_key_build: 0x10e197 (F3) is \033OR
1779080599.043522 input_key_build: 0x10e198 (F4) is \033OS
1779080599.043525 input_key_build: 0x10e199 (F5) is \033[15~
1779080599.043527 input_key_build: 0x10e19a (F6) is \033[17~
1779080599.043529 input_key_build: 0x10e19b (F7) is \033[18~
1779080599.043532 input_key_build: 0x10e19c (F8) is \033[19~
1779080599.043534 input_key_build: 0x10e19d (F9) is \033[20~
1779080599.043537 input_key_build: 0x10e19e (F10) is \033[21~
1779080599.043539 input_key_build: 0x10e19f (F11) is \033[23~
1779080599.043541 input_key_build: 0x10e1a0 (F12) is \033[24~
1779080599.043544 input_key_build: 0x10e1a1 (IC) is \033[2~
1779080599.043546 input_key_build: 0x10e1a2 (DC) is \033[3~
1779080599.043549 input_key_build: 0x10e1a3 (Home) is \033[1~
1779080599.043551 input_key_build: 0x10e1a4 (End) is \033[4~
1779080599.043554 input_key_build: 0x10e1a5 (NPage) is \033[6~
1779080599.043556 input_key_build: 0x10e1a6 (PPage) is \033[5~
1779080599.043558 input_key_build: 0x10e1a7 (BTab) is \033[Z
1779080599.043561 input_key_build: 0x10e1a8 (Up) is \033[A
1779080599.043563 input_key_build: 0x10e1a9 (Down) is \033[B
1779080599.043566 input_key_build: 0x10e1aa (Left) is \033[D
1779080599.043568 input_key_build: 0x10e1ab (Right) is \033[C
1779080599.043571 input_key_build: 0x10e1ac (KP/) is /
1779080599.043573 input_key_build: 0x10e1ad (KP*) is *
1779080599.043576 input_key_build: 0x10e1ae (KP-) is -
1779080599.043578 input_key_build: 0x10e1af (KP7) is 7
1779080599.043580 input_key_build: 0x10e1b0 (KP8) is 8
1779080599.043583 input_key_build: 0x10e1b1 (KP9) is 9
1779080599.043585 input_key_build: 0x10e1b2 (KP+) is +
1779080599.043588 input_key_build: 0x10e1b3 (KP4) is 4
1779080599.043590 input_key_build: 0x10e1b4 (KP5) is 5
1779080599.043592 input_key_build: 0x10e1b5 (KP6) is 6
1779080599.043595 input_key_build: 0x10e1b6 (KP1) is 1
1779080599.043597 input_key_build: 0x10e1b7 (KP2) is 2
1779080599.043599 input_key_build: 0x10e1b8 (KP3) is 3
1779080599.043602 input_key_build: 0x10e1b9 (KPEnter) is \n
1779080599.043604 input_key_build: 0x10e1ba (KP0) is 0
1779080599.043607 input_key_build: 0x10e1bb (KP.) is .
1779080599.043609 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1779080599.043612 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1779080599.043614 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1779080599.043616 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1779080599.043619 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1779080599.043621 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
